Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry,Summary Quote,
XXII,22nd Century Group Inc,1.12,$92.06M,na,Consumer Non-Durables,Farming/Seeds/Milling,http//www.nasdaq.com/symbol/xxii,
FAX,Aberdeen Asia-Pacific Income Fund Inc,5.31,$1.36B,1986,na,na,http//www.nasdaq.com/symbol/fax,
IAF,Aberdeen Australia Equity Fund Inc,6,$136.61M,na,na,na,http//www.nasdaq.com/symbol/iaf,
CH,Aberdeen Chile Fund Inc,6.5185,$61.19M,na,na,na,http//www.nasdaq.com/symbol/ch,
ABE,Aberdeen Emerging Markets Smaller Company Opportunities Fund I,12.7802,$123.69M,na,na,na,http//www.nasdaq.com/symbol/abe,
FCO,Aberdeen Global Income Fund Inc,8.99,$78.79M,1992,na,na,http//www.nasdaq.com/symbol/fco,
IF,Aberdeen Indonesia Fund Inc,6.64,$62.82M,1990,na,na,http//www.nasdaq.com/symbol/if,
ISL,Aberdeen Israel Fund Inc,17,$68.57M,1992,na,na,http//www.nasdaq.com/symbol/isl,
ACU,Acme United Corporation.,20.85,$69.23M,1988,Capital Goods,Industrial Machinery/Components,http//www.nasdaq.com/symbol/acu,
AIII,ACRE Realty Investors Inc,1.2999,$26.6M,na,Consumer Services,Real Estate Investment Trusts,http//www.nasdaq.com/symbol/aiii,
ATNM,Actinium Pharmaceuticals Inc,1.7,$81.12M,na,Health Care,Major Pharmaceuticals,http//www.nasdaq.com/symbol/atnm,
AE,Adams Resources & Energy Inc,31.75,$133.91M,na,Energy,Oil Refining/Marketing,http//www.nasdaq.com/symbol/ae,
ADK,Adcare Health Systems Inc,2.28,$45.48M,na,Health Care,Hospital/Nursing Management,http//www.nasdaq.com/symbol/adk,
ACY,AeroCentury Corp.,8.539,$13.38M,na,Technology,Diversified Commercial Services,http//www.nasdaq.com/symbol/acy,
WGA,AG&E Holdings Inc,0.2681,$3.12M,na,Technology,Radio And Television Broadcasting And Communications Equipment,http//www.nasdaq.com/symbol/wga,
AIRI,Air Industries Group,4.09,$30.92M,na,Capital Goods,Military/Government/Technical,http//www.nasdaq.com/symbol/airi,
AXU,Alexco Resource Corp,2.3,$205.27M,na,Basic Industries,Precious Metals,http//www.nasdaq.com/symbol/axu,
AAU,Almaden MineralsLtd,1.72,$140.08M,2015,Basic Industries,Precious Metals,http//www.nasdaq.com/symbol/aau,
APT,Alpha Pro TechLtd,3.1,$52.58M,na,Health Care,Industrial Specialties,http//www.nasdaq.com/symbol/apt,
AAMC,Altisource Asset Management Corp,13.71,$23.09M,na,Finance,Real Estate,http//www.nasdaq.com/symbol/aamc,
DIT,AMCON Distributing Company,91.05,$53.46M,na,Consumer Non-Durables,Food Distributors,http//www.nasdaq.com/symbol/dit,
ADGE,American DG Energy Inc.,0.26,$13.18M,na,Public Utilities,Power Generation,http//www.nasdaq.com/symbol/adge,
AFCO,American Farmland Company,5.74,$97.13M,2015,Consumer Services,Real Estate Investment Trusts,http//www.nasdaq.com/symbol/afco,
ALN,American Lorain Corporation,0.7,$26.78M,na,Consumer Non-Durables,Packaged Foods,http//www.nasdaq.com/symbol/aln,
AMS,American Shared Hospital Services,2.0899,$11.22M,na,Health Care,Medical Specialities,http//www.nasdaq.com/symbol/ams,
AMPE,Ampio Pharmaceuticals Inc,0.9162,$47.66M,na,Health Care,Major Pharmaceuticals,http//www.nasdaq.com/symbol/ampe,
