Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry,Summary Quote,
PIH,1347 Property Insurance Holdings Inc,6.75,$40.68M,2014,Finance,Property-Casualty Insurers,http//www.nasdaq.com/symbol/pih,
FLWS,1-800 FLOWERS.COM Inc,9.38,$613.75M,1999,Consumer Services,Other Specialty Stores,http//www.nasdaq.com/symbol/flws,
FCCY,1st Constitution Bancorp (NJ),13.0395,$103.7M,na,Finance,Savings Institutions,http//www.nasdaq.com/symbol/fccy,
SRCE,1st Source Corporation,34.36,$888.79M,na,Finance,Major Banks,http//www.nasdaq.com/symbol/srce,
VNET,21Vianet Group Inc,10.51,$918.22M,2011,Technology,Computer Software Programming Data Processing,http//www.nasdaq.com/symbol/vnet,
TWOU,2U Inc,34.9,$1.64B,2014,Technology,Computer Software Prepackaged Software,http//www.nasdaq.com/symbol/twou,
JOBS,51job Inc,33.41,$1.99B,2004,Technology,Diversified Commercial Services,http//www.nasdaq.com/symbol/jobs,
CAFD,8point3 Energy Partners LP,16.15,$1.15B,2015,Public Utilities,Electric Utilities Central,http//www.nasdaq.com/symbol/cafd,
EGHT,8x8 Inc,13.2,$1.18B,na,Public Utilities,Telecommunications Equipment,http//www.nasdaq.com/symbol/eght,
AVHI,A V Homes Inc,13.69,$310.28M,na,Capital Goods,Homebuilding,http//www.nasdaq.com/symbol/avhi,
AAON,AAON Inc,27.04,$1.43B,na,Capital Goods,Industrial Machinery/Components,http//www.nasdaq.com/symbol/aaon,
ABAX,ABAXIS Inc,49.48,$1.11B,1992,Capital Goods,Industrial Machinery/Components,http//www.nasdaq.com/symbol/abax,
ABEO,Abeona Therapeutics Inc.,3.93,$128.89M,na,Health Care,Major Pharmaceuticals,http//www.nasdaq.com/symbol/abeo,
ABIL,Ability Inc.,4.25,$107.42M,2014,Finance,Business Services,http//www.nasdaq.com/symbol/abil,
ABMD,ABIOMED Inc,122.46,$5.27B,na,Health Care,Medical_Dental Instruments,http//www.nasdaq.com/symbol/abmd,
AXAS,Abraxas Petroleum Corporation,1.4,$189.05M,na,Energy,Oil & Gas Production,http//www.nasdaq.com/symbol/axas,
ACIA,Acacia Communications Inc,102.17,$3.66B,2016,Technology,Semiconductors,http//www.nasdaq.com/symbol/acia,
ACTG,Acacia Research Corporation,6.32,$318.42M,na,Miscellaneous,Multi-Sector Companies,http//www.nasdaq.com/symbol/actg,
ACHC,Acadia Healthcare Company Inc,52.72,$4.61B,na,Health Care,Medical Specialities,http//www.nasdaq.com/symbol/achc,
ACAD,ACADIA Pharmaceuticals Inc.,32.37,$3.69B,1985,Health Care,Major Pharmaceuticals,http//www.nasdaq.com/symbol/acad,
ACST,Acasti Pharma Inc,1.42,$15.21M,na,Health Care,Major Pharmaceuticals,http//www.nasdaq.com/symbol/acst,
AXDX,Accelerate Diagnostics Inc,22.28,$1.14B,na,Capital Goods,Biotechnology Laboratory Analytical Instruments,http//www.nasdaq.com/symbol/axdx,
XLRN,Acceleron Pharma Inc.,29.71,$1.12B,2013,Health Care,Biotechnology Biological Products (No Diagnostic Substances),http//www.nasdaq.com/symbol/xlrn,
ANCX,Access National Corporation,21.81,$230.92M,na,Finance,Savings Institutions,http//www.nasdaq.com/symbol/ancx,
ARAY,Accuray Incorporated,5.48,$443.47M,2007,Health Care,Medical_Dental Instruments,http//www.nasdaq.com/symbol/aray,
OILD,AccuShares S&P GSCI Crude Oil Excess Return Down Shares,23.65,$2.37M,na,na,na,http//www.nasdaq.com/symbol/oild,
OILU,AccuShares S&P GSCI Crude Oil Excess Return Up Shares,23.7,$2.37M,na,na,na,http//www.nasdaq.com/symbol/oilu,
VXDN,AccuShares Spot CBOE VIX Down Shares,9.1045,$563331.83,na,na,na,http//www.nasdaq.com/symbol/vxdn,
VXUP,AccuShares Spot CBOE VIX Up Shares,9.32,$576665.68,na,na,na,http//www.nasdaq.com/symbol/vxup,
ACRX,AcelRx Pharmaceuticals Inc,3.57,$161.76M,2011,Health Care,Major Pharmaceuticals,http//www.nasdaq.com/symbol/acrx,
ACET,Aceto Corporation,24.21,$716.25M,na,Health Care,Other Pharmaceuticals,http//www.nasdaq.com/symbol/acet,
AKAO,Achaogen Inc,3.86,$102.98M,2014,Health Care,Major Pharmaceuticals,http//www.nasdaq.com/symbol/akao,
ACHN,Achillion Pharmaceuticals Inc,8.82,$1.21B,2006,Health Care,Major Pharmaceuticals,http//www.nasdaq.com/symbol/achn,
ACIW,ACI Worldwide Inc,18.16,$2.13B,na,Technology,Computer Software Prepackaged Software,http//www.nasdaq.com/symbol/aciw,
ACRS,Aclaris Therapeutics Inc,20,$428.31M,2015,Health Care,Major Pharmaceuticals,http//www.nasdaq.com/symbol/acrs,
ACNB,ACNB Corporation,26.94,$163.17M,na,Finance,Major Banks,http//www.nasdaq.com/symbol/acnb,
ACOR,Acorda Therapeutics Inc,24.05,$1.11B,2006,Health Care,Biotechnology Biological Products (No Diagnostic Substances),http//www.nasdaq.com/symbol/acor,
ACTS,Actions Semiconductor Co.Ltd,2.09,$179.74M,2005,Technology,Semiconductors,http//www.nasdaq.com/symbol/acts,
ACPW,Active Power Inc,0.363,$8.39M,2000,Public Utilities,Electric Utilities Central,http//www.nasdaq.com/symbol/acpw,
ATVI,Activision Blizzard Inc,39.31,$29.15B,na,Technology,Computer Software Prepackaged Software,http//www.nasdaq.com/symbol/atvi,
ACTA,Actua Corporation,9.63,$380.46M,na,Technology,EDP Services,http//www.nasdaq.com/symbol/acta,
ACUR,Acura Pharmaceuticals Inc,1.72,$20.35M,na,Health Care,Major Pharmaceuticals,http//www.nasdaq.com/symbol/acur,
ACXM,Acxiom Corporation,25.15,$1.95B,na,Technology,EDP Services,http//www.nasdaq.com/symbol/acxm,
ADMS,Adamas Pharmaceuticals Inc,14.01,$307.23M,2014,Health Care,Major Pharmaceuticals,http//www.nasdaq.com/symbol/adms,
ADMP,Adamis Pharmaceuticals Corporation,2.57,$38.82M,na,Health Care,Major Pharmaceuticals,http//www.nasdaq.com/symbol/admp,
ADAP,Adaptimmune Therapeutics plc,7.46,$528.06M,2015,Health Care,Biotechnology Biological Products (No Diagnostic Substances),http//www.nasdaq.com/symbol/adap,
ADUS,Addus HomeCare Corporation,21.52,$246.69M,2009,Health Care,Medical_Nursing Services,http//www.nasdaq.com/symbol/adus,
AEY,ADDvantage Technologies Group Inc,1.7948,$18.19M,na,Consumer Services,Office Equipment/Supplies/Services,http//www.nasdaq.com/symbol/aey,
IOTS,Adesto Technologies Corporation,2.48,$37.15M,2015,Technology,Semiconductors,http//www.nasdaq.com/symbol/iots,
ADMA,ADMA Biologics Inc,5.88,$75.77M,na,Health Care,Biotechnology Biological Products (No Diagnostic Substances),http//www.nasdaq.com/symbol/adma,
