Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry,Summary Quote,
DDD,3D Systems Corporation,15.43,$1.73B,na,Technology,Computer Software Prepackaged Software,http//www.nasdaq.com/symbol/ddd,
MMM,3M Company,179.25,$108.34B,na,Health Care,Medical_Dental Instruments,http//www.nasdaq.com/symbol/mmm,
WBAI,500.com Limited,17.79,$736.13M,2013,Consumer Services,Services-Misc. Amusement & Recreation,http//www.nasdaq.com/symbol/wbai,
ATEN,A10 Networks Inc,8.68,$570.91M,2014,Technology,Computer Communications Equipment,http//www.nasdaq.com/symbol/aten,
AAC,AAC Holdings Inc,18.28,$433.26M,2014,Health Care,Medical Specialities,http//www.nasdaq.com/symbol/aac,
AIR,AAR Corp.,23.52,$816.11M,na,Capital Goods,Aerospace,http//www.nasdaq.com/symbol/air,
AAN,Aaron's Inc,24.93,$1.81B,na,Technology,Diversified Commercial Services,http//www.nasdaq.com/symbol/aan,
ABB,ABB Ltd,22.05,$46.9B,na,Consumer Durables,Electrical Products,http//www.nasdaq.com/symbol/abb,
ABT,Abbott Laboratories,44.92,$66.03B,na,Health Care,Major Pharmaceuticals,http//www.nasdaq.com/symbol/abt,
ABBV,AbbVie Inc.,66.74,$108.69B,2012,Health Care,Major Pharmaceuticals,http//www.nasdaq.com/symbol/abbv,
ANF,Abercrombie & Fitch Company,22.1,$1.49B,na,Consumer Services,Clothing/Shoe/Accessory Stores,http//www.nasdaq.com/symbol/anf,
GCH,Aberdeen Greater China Fund Inc,9,$81.53M,1992,na,na,http//www.nasdaq.com/symbol/gch,
JEQ,Aberdeen Japan Equity Fund Inc,8.13,$110.57M,1992,na,na,http//www.nasdaq.com/symbol/jeq,
SGF,Aberdeen Singapore Fund Inc,9.37,$71.43M,1990,na,na,http//www.nasdaq.com/symbol/sgf,
ABM,ABM Industries Incorporated,37.99,$2.12B,na,Finance,Diversified Commercial Services,http//www.nasdaq.com/symbol/abm,
AKR,Acadia Realty Trust,35.79,$2.71B,na,Consumer Services,Real Estate Investment Trusts,http//www.nasdaq.com/symbol/akr,
ACN,Accenture plc,112.98,$72.84B,2001,Miscellaneous,Business Services,http//www.nasdaq.com/symbol/acn,
ACCO,Acco Brands Corporation,10.18,$1.09B,na,Consumer Durables,Publishing,http//www.nasdaq.com/symbol/acco,
ACW,Accuride Corporation New,1.54,$74.29M,na,Capital Goods,Auto PartsO.E.M.,http//www.nasdaq.com/symbol/acw,
ATV,Acorn International Inc,6.2,$23.72M,2007,Consumer Services,Other Specialty Stores,http//www.nasdaq.com/symbol/atv,
ATU,Actuant Corporation,23.95,$1.41B,na,Technology,Industrial Machinery/Components,http//www.nasdaq.com/symbol/atu,
AYI,Acuity Brands Inc,275.66,$12.1B,na,Consumer Durables,Building Products,http//www.nasdaq.com/symbol/ayi,
ADX,Adams Diversified Equity Fund Inc,13.19,$1.29B,na,na,na,http//www.nasdaq.com/symbol/adx,
PEO,Adams Natural Resources Fund Inc,20.04,$562.98M,na,na,na,http//www.nasdaq.com/symbol/peo,
AGRO,Adecoagro S.A.,9.96,$1.22B,2011,Consumer Non-Durables,Farming/Seeds/Milling,http//www.nasdaq.com/symbol/agro,
ADPT,Adeptus Health Inc.,42.13,$1.09B,2014,Health Care,Hospital/Nursing Management,http//www.nasdaq.com/symbol/adpt,
